RANKING IDHM 2010,CD_GEOCODM,MUNICÍPIO,ESTADO,IDHM 2010,IDHM RENDA 2010,IDHM LONGEVIDADE 2010,IDHM EDUCAÇÃO 2010,MERGE,,MERGE,X,CD_GEOCODM,ESTADO,NM_MUNICIP,Info,lon,lat
5518,270500,MATA GRANDE,AL,"0,504","0,506","0,685","0,369",AL-MATA GRANDE,1,AL-MATA GRANDE,1703,270500, AL,MATA GRANDE,MATA GRANDE,-87.9261415,17.9775653
4540,270510,MATRIZ DE CAMARAGIBE,AL,"0,584","0,541","0,777","0,473",AL-MATRIZ DE CAMARAGIBE,1,AL-MATRIZ DE CAMARAGIBE,1704,270510, AL,MATRIZ DE CAMARAGIBE,MATRIZ DE CAMARAGIBE,-35.5246308,-9.154808
4884,270520,MESSIAS,AL,"0,568","0,557","0,714","0,460",AL-MESSIAS,1,AL-MESSIAS,1705,270520, AL,MESSIAS,MESSIAS,-92.3219615,34.7500376
4984,270530,MINADOR DO NEGRÃO,AL,"0,563","0,541","0,767","0,430",AL-MINADOR DO NEGRÃO,1,AL-MINADOR DO NEGRÃO,1706,270530, AL,MINADOR DO NEGRÃO,MINADOR DO NEGRÃO,-36.8665768,-9.3083596
5332,270540,MONTEIRÓPOLIS,AL,"0,539","0,497","0,710","0,443",AL-MONTEIRÓPOLIS,1,AL-MONTEIRÓPOLIS,1707,270540, AL,MONTEIRÓPOLIS,MONTEIRÓPOLIS,-37.2508,-9.6039948
5416,270550,MURICI,AL,"0,527","0,542","0,685","0,395",AL-MURICI,1,AL-MURICI,1708,270550, AL,MURICI,MURICI,-35.9418054,-9.3099143
5453,270560,NOVO LINO,AL,"0,521","0,546","0,690","0,375",AL-NOVO LINO,1,AL-NOVO LINO,1709,270560, AL,NOVO LINO,NOVO LINO,-35.6627226,-8.9414557
4941,270570,OLHO D'ÁGUA DAS FLORES,AL,"0,565","0,568","0,752","0,422",AL-OLHO D'ÁGUA DAS FLORES,1,AL-OLHO D'ÁGUA DAS FLORES,1710,270570, AL,OLHO D'ÁGUA DAS FLORES,OLHO D'ÁGUA DAS FLORES,-37.2947534,-9.532208
5432,270580,OLHO D'ÁGUA DO CASADO,AL,"0,525","0,527","0,785","0,350",AL-OLHO D'ÁGUA DO CASADO,1,AL-OLHO D'ÁGUA DO CASADO,1711,270580, AL,OLHO D'ÁGUA DO CASADO,OLHO D'ÁGUA DO CASADO,-37.8300034,-9.4229163
5520,270590,OLHO D'ÁGUA GRANDE,AL,"0,503","0,473","0,673","0,399",AL-OLHO D'ÁGUA GRANDE,1,AL-OLHO D'ÁGUA GRANDE,1712,270590, AL,OLHO D'ÁGUA GRANDE,OLHO D'ÁGUA GRANDE,-36.8149959,-10.0572517
