MERGE,X,CD_GEOCODM,ESTADO,NM_MUNICIP,Info,lon,lat
 PR-LINDOESTE,4099,411345, PR,LINDOESTE,LINDOESTE,-62.1688572,-12.607055
 PR-LOANDA,4100,411350, PR,LOANDA,LOANDA,-62.1688572,-12.607055
 PR-LOBATO,4101,411360, PR,LOBATO,LOBATO,-62.1688572,-12.607055
 PR-LONDRINA,4102,411370, PR,LONDRINA,LONDRINA,-62.1688572,-12.607055
 PR-LUIZIANA,4103,411373, PR,LUIZIANA,LUIZIANA,-62.1688572,-12.607055
 PR-LUNARDELLI,4104,411375, PR,LUNARDELLI,LUNARDELLI,-62.1688572,-12.607055
 PR-LUPIONÓPOLIS,4105,411380, PR,LUPIONÓPOLIS,LUPIONÓPOLIS,-62.1688572,-12.607055
 PR-MALLET,4106,411390, PR,MALLET,MALLET,-62.1688572,-12.607055
 PR-MAMBORÊ,4107,411400, PR,MAMBORÊ,MAMBORÊ,-62.1688572,-12.607055
 PR-MANDAGUAÇU,4108,411410, PR,MANDAGUAÇU,MANDAGUAÇU,-62.1688572,-12.607055
 PR-MANDAGUARI,4109,411420, PR,MANDAGUARI,MANDAGUARI,-62.1688572,-12.607055
 PR-MANDIRITUBA,4110,411430, PR,MANDIRITUBA,MANDIRITUBA,-62.1688572,-12.607055
 PR-MANFRINÓPOLIS,4111,411435, PR,MANFRINÓPOLIS,MANFRINÓPOLIS,-62.1688572,-12.607055
 PR-MANGUEIRINHA,4112,411440, PR,MANGUEIRINHA,MANGUEIRINHA,-62.1688572,-12.607055
 PR-MANOEL RIBAS,4113,411450, PR,MANOEL RIBAS,MANOEL RIBAS,-62.1688572,-12.607055
 PR-MARECHAL CÂNDIDO RONDON,4114,411460, PR,MARECHAL CÂNDIDO RONDON,MARECHAL CÂNDIDO RONDON,-62.1688572,-12.607055
 PR-MARIA HELENA,4115,411470, PR,MARIA HELENA,MARIA HELENA,-62.1688572,-12.607055
 PR-MARIALVA,4116,411480, PR,MARIALVA,MARIALVA,-62.1688572,-12.607055
 PR-MARILÂNDIA DO SUL,4117,411490, PR,MARILÂNDIA DO SUL,MARILÂNDIA DO SUL,-62.1688572,-12.607055
 PR-MARILENA,4118,411500, PR,MARILENA,MARILENA,-62.1688572,-12.607055
 PR-MARILUZ,4119,411510, PR,MARILUZ,MARILUZ,-62.1688572,-12.607055
 PR-MARINGÁ,4120,411520, PR,MARINGÁ,MARINGÁ,-62.1688572,-12.607055
 PR-MARIÓPOLIS,4121,411530, PR,MARIÓPOLIS,MARIÓPOLIS,-62.1688572,-12.607055
 PR-MARIPÁ,4122,411535, PR,MARIPÁ,MARIPÁ,-62.1688572,-12.607055
 PR-MARMELEIRO,4123,411540, PR,MARMELEIRO,MARMELEIRO,-62.1688572,-12.607055
 PR-MARQUINHO,4124,411545, PR,MARQUINHO,MARQUINHO,-62.1688572,-12.607055
 PR-MARUMBI,4125,411550, PR,MARUMBI,MARUMBI,-62.1688572,-12.607055
 PR-MATELÂNDIA,4126,411560, PR,MATELÂNDIA,MATELÂNDIA,-62.1688572,-12.607055
 PR-MATINHOS,4127,411570, PR,MATINHOS,MATINHOS,-62.1688572,-12.607055
 PR-MATO RICO,4128,411573, PR,MATO RICO,MATO RICO,-62.1688572,-12.607055
 PR-MAUÁ DA SERRA,4129,411575, PR,MAUÁ DA SERRA,MAUÁ DA SERRA,-62.1688572,-12.607055
 PR-MEDIANEIRA,4130,411580, PR,MEDIANEIRA,MEDIANEIRA,-62.1688572,-12.607055
 PR-MERCEDES,4131,411585, PR,MERCEDES,MERCEDES,-62.1688572,-12.607055
 PR-MIRADOR,4132,411590, PR,MIRADOR,MIRADOR,-62.1688572,-12.607055
 PR-MIRASELVA,4133,411600, PR,MIRASELVA,MIRASELVA,-62.1688572,-12.607055
 PR-MISSAL,4134,411605, PR,MISSAL,MISSAL,-62.1688572,-12.607055
 PR-MOREIRA SALES,4135,411610, PR,MOREIRA SALES,MOREIRA SALES,-62.1688572,-12.607055
 PR-MORRETES,4136,411620, PR,MORRETES,MORRETES,-62.1688572,-12.607055
 PR-MUNHOZ DE MELO,4137,411630, PR,MUNHOZ DE MELO,MUNHOZ DE MELO,-62.1688572,-12.607055
 PR-NOSSA SENHORA DAS GRAÇAS,4138,411640, PR,NOSSA SENHORA DAS GRAÇAS,NOSSA SENHORA DAS GRAÇAS,-62.1688572,-12.607055
 PR-NOVA ALIANÇA DO IVAÍ,4139,411650, PR,NOVA ALIANÇA DO IVAÍ,NOVA ALIANÇA DO IVAÍ,-62.1688572,-12.607055
 PR-NOVA AMÉRICA DA COLINA,4140,411660, PR,NOVA AMÉRICA DA COLINA,NOVA AMÉRICA DA COLINA,-62.1688572,-12.607055
 PR-NOVA AURORA,4141,411670, PR,NOVA AURORA,NOVA AURORA,-62.1688572,-12.607055
 PR-NOVA CANTU,4142,411680, PR,NOVA CANTU,NOVA CANTU,-62.1688572,-12.607055
 PR-NOVA ESPERANÇA,4143,411690, PR,NOVA ESPERANÇA,NOVA ESPERANÇA,-62.1688572,-12.607055
 PR-NOVA ESPERANÇA DO SUDOESTE,4144,411695, PR,NOVA ESPERANÇA DO SUDOESTE,NOVA ESPERANÇA DO SUDOESTE,-62.1688572,-12.607055
 PR-NOVA FÁTIMA,4145,411700, PR,NOVA FÁTIMA,NOVA FÁTIMA,-62.1688572,-12.607055
 PR-NOVA LARANJEIRAS,4146,411705, PR,NOVA LARANJEIRAS,NOVA LARANJEIRAS,-62.1688572,-12.607055
 PR-NOVA LONDRINA,4147,411710, PR,NOVA LONDRINA,NOVA LONDRINA,-62.1688572,-12.607055
 PR-NOVA OLÍMPIA,4148,411720, PR,NOVA OLÍMPIA,NOVA OLÍMPIA,-62.1688572,-12.607055
 PR-NOVA SANTA BÁRBARA,4149,411721, PR,NOVA SANTA BÁRBARA,NOVA SANTA BÁRBARA,-62.1688572,-12.607055
 PR-NOVA SANTA ROSA,4150,411722, PR,NOVA SANTA ROSA,NOVA SANTA ROSA,-62.1688572,-12.607055
 PR-NOVA PRATA DO IGUAÇU,4151,411725, PR,NOVA PRATA DO IGUAÇU,NOVA PRATA DO IGUAÇU,-62.1688572,-12.607055
 PR-NOVA TEBAS,4152,411727, PR,NOVA TEBAS,NOVA TEBAS,-62.1688572,-12.607055
 PR-NOVO ITACOLOMI,4153,411729, PR,NOVO ITACOLOMI,NOVO ITACOLOMI,-62.1688572,-12.607055
 PR-ORTIGUEIRA,4154,411730, PR,ORTIGUEIRA,ORTIGUEIRA,-62.1688572,-12.607055
 PR-OURIZONA,4155,411740, PR,OURIZONA,OURIZONA,-62.1688572,-12.607055
 PR-OURO VERDE DO OESTE,4156,411745, PR,OURO VERDE DO OESTE,OURO VERDE DO OESTE,-62.1688572,-12.607055
 PR-PAIÇANDU,4157,411750, PR,PAIÇANDU,PAIÇANDU,-62.1688572,-12.607055
 PR-PALMAS,4158,411760, PR,PALMAS,PALMAS,-62.1688572,-12.607055
 PR-PALMEIRA,4159,411770, PR,PALMEIRA,PALMEIRA,-62.1688572,-12.607055
 PR-PALMITAL,4160,411780, PR,PALMITAL,PALMITAL,-62.1688572,-12.607055
 PR-PALOTINA,4161,411790, PR,PALOTINA,PALOTINA,-62.1688572,-12.607055
 PR-PARAÍSO DO NORTE,4162,411800, PR,PARAÍSO DO NORTE,PARAÍSO DO NORTE,-62.1688572,-12.607055
 PR-PARANACITY,4163,411810, PR,PARANACITY,PARANACITY,-62.1688572,-12.607055
 PR-PARANAGUÁ,4164,411820, PR,PARANAGUÁ,PARANAGUÁ,-62.1688572,-12.607055
 PR-PARANAPOEMA,4165,411830, PR,PARANAPOEMA,PARANAPOEMA,-62.1688572,-12.607055
 PR-PARANAVAÍ,4166,411840, PR,PARANAVAÍ,PARANAVAÍ,-62.1688572,-12.607055
 PR-PATO BRAGADO,4167,411845, PR,PATO BRAGADO,PATO BRAGADO,-62.1688572,-12.607055
 PR-PATO BRANCO,4168,411850, PR,PATO BRANCO,PATO BRANCO,-62.1688572,-12.607055
 PR-PAULA FREITAS,4169,411860, PR,PAULA FREITAS,PAULA FREITAS,-62.1688572,-12.607055
 PR-PAULO FRONTIN,4170,411870, PR,PAULO FRONTIN,PAULO FRONTIN,-62.1688572,-12.607055
 PR-PEABIRU,4171,411880, PR,PEABIRU,PEABIRU,-62.1688572,-12.607055
 PR-PEROBAL,4172,411885, PR,PEROBAL,PEROBAL,-62.1688572,-12.607055
 PR-PÉROLA,4173,411890, PR,PÉROLA,PÉROLA,-62.1688572,-12.607055
 PR-PÉROLA D'OESTE,4174,411900, PR,PÉROLA D'OESTE,PÉROLA D'OESTE,-62.1688572,-12.607055
 PR-PIÊN,4175,411910, PR,PIÊN,PIÊN,-62.1688572,-12.607055
 PR-PINHAIS,4176,411915, PR,PINHAIS,PINHAIS,-62.1688572,-12.607055
 PR-PINHALÃO,4177,411920, PR,PINHALÃO,PINHALÃO,-62.1688572,-12.607055
 PR-PINHAL DE SÃO BENTO,4178,411925, PR,PINHAL DE SÃO BENTO,PINHAL DE SÃO BENTO,-62.1688572,-12.607055
 PR-PINHÃO,4179,411930, PR,PINHÃO,PINHÃO,-62.1688572,-12.607055
 PR-PIRAÍ DO SUL,4180,411940, PR,PIRAÍ DO SUL,PIRAÍ DO SUL,-62.1688572,-12.607055
 PR-PIRAQUARA,4181,411950, PR,PIRAQUARA,PIRAQUARA,-62.1688572,-12.607055
 PR-PITANGA,4182,411960, PR,PITANGA,PITANGA,-62.1688572,-12.607055
 PR-PITANGUEIRAS,4183,411965, PR,PITANGUEIRAS,PITANGUEIRAS,-62.1688572,-12.607055
 PR-PLANALTINA DO PARANÁ,4184,411970, PR,PLANALTINA DO PARANÁ,PLANALTINA DO PARANÁ,-62.1688572,-12.607055
 PR-PLANALTO,4185,411980, PR,PLANALTO,PLANALTO,-62.1688572,-12.607055
 PR-PONTA GROSSA,4186,411990, PR,PONTA GROSSA,PONTA GROSSA,-62.1688572,-12.607055
 PR-PONTAL DO PARANÁ,4187,411995, PR,PONTAL DO PARANÁ,PONTAL DO PARANÁ,-62.1688572,-12.607055
 PR-PORECATU,4188,412000, PR,PORECATU,PORECATU,-62.1688572,-12.607055
 PR-PORTO AMAZONAS,4189,412010, PR,PORTO AMAZONAS,PORTO AMAZONAS,-62.1688572,-12.607055
 PR-PORTO BARREIRO,4190,412015, PR,PORTO BARREIRO,PORTO BARREIRO,-62.1688572,-12.607055
 PR-PORTO RICO,4191,412020, PR,PORTO RICO,PORTO RICO,-62.1688572,-12.607055
 PR-PORTO VITÓRIA,4192,412030, PR,PORTO VITÓRIA,PORTO VITÓRIA,-62.1688572,-12.607055
 PR-PRADO FERREIRA,4193,412033, PR,PRADO FERREIRA,PRADO FERREIRA,-62.1688572,-12.607055
 PR-PRANCHITA,4194,412035, PR,PRANCHITA,PRANCHITA,-62.1688572,-12.607055
 PR-PRESIDENTE CASTELO BRANCO,4195,412040, PR,PRESIDENTE CASTELO BRANCO,PRESIDENTE CASTELO BRANCO,-62.1688572,-12.607055
 PR-PRIMEIRO DE MAIO,4196,412050, PR,PRIMEIRO DE MAIO,PRIMEIRO DE MAIO,-62.1688572,-12.607055
 PR-PRUDENTÓPOLIS,4197,412060, PR,PRUDENTÓPOLIS,PRUDENTÓPOLIS,-62.1688572,-12.607055
 PR-QUARTO CENTENÁRIO,4198,412065, PR,QUARTO CENTENÁRIO,QUARTO CENTENÁRIO,-62.1688572,-12.607055
 PR-QUATIGUÁ,4199,412070, PR,QUATIGUÁ,QUATIGUÁ,-62.1688572,-12.607055
 PR-QUATRO BARRAS,4200,412080, PR,QUATRO BARRAS,QUATRO BARRAS,-62.1688572,-12.607055
 PR-QUATRO PONTES,4201,412085, PR,QUATRO PONTES,QUATRO PONTES,-62.1688572,-12.607055
 PR-QUEDAS DO IGUAÇU,4202,412090, PR,QUEDAS DO IGUAÇU,QUEDAS DO IGUAÇU,-62.1688572,-12.607055
 PR-QUERÊNCIA DO NORTE,4203,412100, PR,QUERÊNCIA DO NORTE,QUERÊNCIA DO NORTE,-62.1688572,-12.607055
 PR-QUINTA DO SOL,4204,412110, PR,QUINTA DO SOL,QUINTA DO SOL,-62.1688572,-12.607055
 PR-QUITANDINHA,4205,412120, PR,QUITANDINHA,QUITANDINHA,-62.1688572,-12.607055
 PR-RAMILÂNDIA,4206,412125, PR,RAMILÂNDIA,RAMILÂNDIA,-62.1688572,-12.607055
 PR-RANCHO ALEGRE,4207,412130, PR,RANCHO ALEGRE,RANCHO ALEGRE,-62.1688572,-12.607055
 PR-RANCHO ALEGRE D'OESTE,4208,412135, PR,RANCHO ALEGRE D'OESTE,RANCHO ALEGRE D'OESTE,-62.1688572,-12.607055
 PR-REALEZA,4209,412140, PR,REALEZA,REALEZA,-62.1688572,-12.607055
 PR-REBOUÇAS,4210,412150, PR,REBOUÇAS,REBOUÇAS,-62.1688572,-12.607055
 PR-RENASCENÇA,4211,412160, PR,RENASCENÇA,RENASCENÇA,-62.1688572,-12.607055
 PR-RESERVA,4212,412170, PR,RESERVA,RESERVA,-62.1688572,-12.607055
 PR-RESERVA DO IGUAÇU,4213,412175, PR,RESERVA DO IGUAÇU,RESERVA DO IGUAÇU,-62.1688572,-12.607055
 PR-RIBEIRÃO CLARO,4214,412180, PR,RIBEIRÃO CLARO,RIBEIRÃO CLARO,-62.1688572,-12.607055
 PR-RIBEIRÃO DO PINHAL,4215,412190, PR,RIBEIRÃO DO PINHAL,RIBEIRÃO DO PINHAL,-62.1688572,-12.607055
 PR-RIO AZUL,4216,412200, PR,RIO AZUL,RIO AZUL,-62.1688572,-12.607055
 PR-RIO BOM,4217,412210, PR,RIO BOM,RIO BOM,-62.1688572,-12.607055
 PR-RIO BONITO DO IGUAÇU,4218,412215, PR,RIO BONITO DO IGUAÇU,RIO BONITO DO IGUAÇU,-62.1688572,-12.607055
 PR-RIO BRANCO DO IVAÍ,4219,412217, PR,RIO BRANCO DO IVAÍ,RIO BRANCO DO IVAÍ,-62.1688572,-12.607055
 PR-RIO BRANCO DO SUL,4220,412220, PR,RIO BRANCO DO SUL,RIO BRANCO DO SUL,-62.1688572,-12.607055
 PR-RIO NEGRO,4221,412230, PR,RIO NEGRO,RIO NEGRO,-62.1688572,-12.607055
 PR-ROLÂNDIA,4222,412240, PR,ROLÂNDIA,ROLÂNDIA,-62.1688572,-12.607055
 PR-RONCADOR,4223,412250, PR,RONCADOR,RONCADOR,-62.1688572,-12.607055
 PR-RONDON,4224,412260, PR,RONDON,RONDON,-62.1688572,-12.607055
 PR-ROSÁRIO DO IVAÍ,4225,412265, PR,ROSÁRIO DO IVAÍ,ROSÁRIO DO IVAÍ,-62.1688572,-12.607055
 PR-SABÁUDIA,4226,412270, PR,SABÁUDIA,SABÁUDIA,-62.1688572,-12.607055
 PR-SALGADO FILHO,4227,412280, PR,SALGADO FILHO,SALGADO FILHO,-62.1688572,-12.607055
 PR-SALTO DO ITARARÉ,4228,412290, PR,SALTO DO ITARARÉ,SALTO DO ITARARÉ,-62.1688572,-12.607055
 PR-SALTO DO LONTRA,4229,412300, PR,SALTO DO LONTRA,SALTO DO LONTRA,-62.1688572,-12.607055
 PR-SANTA AMÉLIA,4230,412310, PR,SANTA AMÉLIA,SANTA AMÉLIA,-62.1688572,-12.607055
 PR-SANTA CECÍLIA DO PAVÃO,4231,412320, PR,SANTA CECÍLIA DO PAVÃO,SANTA CECÍLIA DO PAVÃO,-62.1688572,-12.607055
 PR-SANTA CRUZ DE MONTE CASTELO,4232,412330, PR,SANTA CRUZ DE MONTE CASTELO,SANTA CRUZ DE MONTE CASTELO,-62.1688572,-12.607055
 PR-SANTA FÉ,4233,412340, PR,SANTA FÉ,SANTA FÉ,-62.1688572,-12.607055
 PR-SANTA HELENA,4234,412350, PR,SANTA HELENA,SANTA HELENA,-62.1688572,-12.607055
 PR-SANTA INÊS,4235,412360, PR,SANTA INÊS,SANTA INÊS,-62.1688572,-12.607055
 PR-SANTA ISABEL DO IVAÍ,4236,412370, PR,SANTA ISABEL DO IVAÍ,SANTA ISABEL DO IVAÍ,-62.1688572,-12.607055
 PR-SANTA IZABEL DO OESTE,4237,412380, PR,SANTA IZABEL DO OESTE,SANTA IZABEL DO OESTE,-62.1688572,-12.607055
 PR-SANTA LÚCIA,4238,412382, PR,SANTA LÚCIA,SANTA LÚCIA,-62.1688572,-12.607055
 PR-SANTA MARIA DO OESTE,4239,412385, PR,SANTA MARIA DO OESTE,SANTA MARIA DO OESTE,-62.1688572,-12.607055
 PR-SANTA MARIANA,4240,412390, PR,SANTA MARIANA,SANTA MARIANA,-62.1688572,-12.607055
 PR-SANTA MÔNICA,4241,412395, PR,SANTA MÔNICA,SANTA MÔNICA,-62.1688572,-12.607055
 PR-SANTANA DO ITARARÉ,4242,412400, PR,SANTANA DO ITARARÉ,SANTANA DO ITARARÉ,-62.1688572,-12.607055
 PR-SANTA TEREZA DO OESTE,4243,412402, PR,SANTA TEREZA DO OESTE,SANTA TEREZA DO OESTE,-62.1688572,-12.607055
 PR-SANTA TEREZINHA DE ITAIPU,4244,412405, PR,SANTA TEREZINHA DE ITAIPU,SANTA TEREZINHA DE ITAIPU,-62.1688572,-12.607055
 PR-SANTO ANTÔNIO DA PLATINA,4245,412410, PR,SANTO ANTÔNIO DA PLATINA,SANTO ANTÔNIO DA PLATINA,-62.1688572,-12.607055
 PR-SANTO ANTÔNIO DO CAIUÁ,4246,412420, PR,SANTO ANTÔNIO DO CAIUÁ,SANTO ANTÔNIO DO CAIUÁ,-62.1688572,-12.607055
 PR-SANTO ANTÔNIO DO PARAÍSO,4247,412430, PR,SANTO ANTÔNIO DO PARAÍSO,SANTO ANTÔNIO DO PARAÍSO,-62.1688572,-12.607055
 PR-SANTO ANTÔNIO DO SUDOESTE,4248,412440, PR,SANTO ANTÔNIO DO SUDOESTE,SANTO ANTÔNIO DO SUDOESTE,-62.1688572,-12.607055
 PR-SANTO INÁCIO,4249,412450, PR,SANTO INÁCIO,SANTO INÁCIO,-62.1688572,-12.607055
 PR-SÃO CARLOS DO IVAÍ,4250,412460, PR,SÃO CARLOS DO IVAÍ,SÃO CARLOS DO IVAÍ,-62.1688572,-12.607055
 PR-SÃO JERÔNIMO DA SERRA,4251,412470, PR,SÃO JERÔNIMO DA SERRA,SÃO JERÔNIMO DA SERRA,-62.1688572,-12.607055
 PR-SÃO JOÃO,4252,412480, PR,SÃO JOÃO,SÃO JOÃO,-62.1688572,-12.607055
 PR-SÃO JOÃO DO CAIUÁ,4253,412490, PR,SÃO JOÃO DO CAIUÁ,SÃO JOÃO DO CAIUÁ,-62.1688572,-12.607055
 PR-SÃO JOÃO DO IVAÍ,4254,412500, PR,SÃO JOÃO DO IVAÍ,SÃO JOÃO DO IVAÍ,-62.1688572,-12.607055
 PR-SÃO JOÃO DO TRIUNFO,4255,412510, PR,SÃO JOÃO DO TRIUNFO,SÃO JOÃO DO TRIUNFO,-62.1688572,-12.607055
 PR-SÃO JORGE D'OESTE,4256,412520, PR,SÃO JORGE D'OESTE,SÃO JORGE D'OESTE,-62.1688572,-12.607055
 PR-SÃO JORGE DO IVAÍ,4257,412530, PR,SÃO JORGE DO IVAÍ,SÃO JORGE DO IVAÍ,-62.1688572,-12.607055
 PR-SÃO JORGE DO PATROCÍNIO,4258,412535, PR,SÃO JORGE DO PATROCÍNIO,SÃO JORGE DO PATROCÍNIO,-62.1688572,-12.607055
 PR-SÃO JOSÉ DA BOA VISTA,4259,412540, PR,SÃO JOSÉ DA BOA VISTA,SÃO JOSÉ DA BOA VISTA,-62.1688572,-12.607055
 PR-SÃO JOSÉ DAS PALMEIRAS,4260,412545, PR,SÃO JOSÉ DAS PALMEIRAS,SÃO JOSÉ DAS PALMEIRAS,-62.1688572,-12.607055
 PR-SÃO JOSÉ DOS PINHAIS,4261,412550, PR,SÃO JOSÉ DOS PINHAIS,SÃO JOSÉ DOS PINHAIS,-62.1688572,-12.607055
 PR-SÃO MANOEL DO PARANÁ,4262,412555, PR,SÃO MANOEL DO PARANÁ,SÃO MANOEL DO PARANÁ,-62.1688572,-12.607055
 PR-SÃO MATEUS DO SUL,4263,412560, PR,SÃO MATEUS DO SUL,SÃO MATEUS DO SUL,-62.1688572,-12.607055
 PR-SÃO MIGUEL DO IGUAÇU,4264,412570, PR,SÃO MIGUEL DO IGUAÇU,SÃO MIGUEL DO IGUAÇU,-62.1688572,-12.607055
 PR-SÃO PEDRO DO IGUAÇU,4265,412575, PR,SÃO PEDRO DO IGUAÇU,SÃO PEDRO DO IGUAÇU,-62.1688572,-12.607055
 PR-SÃO PEDRO DO IVAÍ,4266,412580, PR,SÃO PEDRO DO IVAÍ,SÃO PEDRO DO IVAÍ,-62.1688572,-12.607055
 PR-SÃO PEDRO DO PARANÁ,4267,412590, PR,SÃO PEDRO DO PARANÁ,SÃO PEDRO DO PARANÁ,-62.1688572,-12.607055
 PR-SÃO SEBASTIÃO DA AMOREIRA,4268,412600, PR,SÃO SEBASTIÃO DA AMOREIRA,SÃO SEBASTIÃO DA AMOREIRA,-62.1688572,-12.607055
 PR-SÃO TOMÉ,4269,412610, PR,SÃO TOMÉ,SÃO TOMÉ,-62.1688572,-12.607055
 PR-SAPOPEMA,4270,412620, PR,SAPOPEMA,SAPOPEMA,-62.1688572,-12.607055
 PR-SARANDI,4271,412625, PR,SARANDI,SARANDI,-62.1688572,-12.607055
 PR-SAUDADE DO IGUAÇU,4272,412627, PR,SAUDADE DO IGUAÇU,SAUDADE DO IGUAÇU,-62.1688572,-12.607055
 PR-SENGÉS,4273,412630, PR,SENGÉS,SENGÉS,-62.1688572,-12.607055
 PR-SERRANÓPOLIS DO IGUAÇU,4274,412635, PR,SERRANÓPOLIS DO IGUAÇU,SERRANÓPOLIS DO IGUAÇU,-62.1688572,-12.607055
 PR-SERTANEJA,4275,412640, PR,SERTANEJA,SERTANEJA,-62.1688572,-12.607055
 PR-SERTANÓPOLIS,4276,412650, PR,SERTANÓPOLIS,SERTANÓPOLIS,-62.1688572,-12.607055
 PR-SIQUEIRA CAMPOS,4277,412660, PR,SIQUEIRA CAMPOS,SIQUEIRA CAMPOS,-62.1688572,-12.607055
 PR-SULINA,4278,412665, PR,SULINA,SULINA,-62.1688572,-12.607055
 PR-TAMARANA,4279,412667, PR,TAMARANA,TAMARANA,-62.1688572,-12.607055
 PR-TAMBOARA,4280,412670, PR,TAMBOARA,TAMBOARA,-62.1688572,-12.607055
 PR-TAPEJARA,4281,412680, PR,TAPEJARA,TAPEJARA,-62.1688572,-12.607055
 PR-TAPIRA,4282,412690, PR,TAPIRA,TAPIRA,-62.1688572,-12.607055
 PR-TEIXEIRA SOARES,4283,412700, PR,TEIXEIRA SOARES,TEIXEIRA SOARES,-62.1688572,-12.607055
 PR-TELÊMACO BORBA,4284,412710, PR,TELÊMACO BORBA,TELÊMACO BORBA,-62.1688572,-12.607055
 PR-TERRA BOA,4285,412720, PR,TERRA BOA,TERRA BOA,-62.1688572,-12.607055
 PR-TERRA RICA,4286,412730, PR,TERRA RICA,TERRA RICA,-62.1688572,-12.607055
 PR-TERRA ROXA,4287,412740, PR,TERRA ROXA,TERRA ROXA,-62.1688572,-12.607055
 PR-TIBAGI,4288,412750, PR,TIBAGI,TIBAGI,-62.1688572,-12.607055
 PR-TIJUCAS DO SUL,4289,412760, PR,TIJUCAS DO SUL,TIJUCAS DO SUL,-62.1688572,-12.607055
 PR-TOLEDO,4290,412770, PR,TOLEDO,TOLEDO,-62.1688572,-12.607055
 PR-TOMAZINA,4291,412780, PR,TOMAZINA,TOMAZINA,-62.1688572,-12.607055
 PR-TRÊS BARRAS DO PARANÁ,4292,412785, PR,TRÊS BARRAS DO PARANÁ,TRÊS BARRAS DO PARANÁ,-62.1688572,-12.607055
 PR-TUNAS DO PARANÁ,4293,412788, PR,TUNAS DO PARANÁ,TUNAS DO PARANÁ,-62.1688572,-12.607055
 PR-TUNEIRAS DO OESTE,4294,412790, PR,TUNEIRAS DO OESTE,TUNEIRAS DO OESTE,-62.1688572,-12.607055
 PR-TUPÃSSI,4295,412795, PR,TUPÃSSI,TUPÃSSI,-62.1688572,-12.607055
 PR-TURVO,4296,412796, PR,TURVO,TURVO,-62.1688572,-12.607055
 PR-UBIRATÃ,4297,412800, PR,UBIRATÃ,UBIRATÃ,-62.1688572,-12.607055
 PR-UMUARAMA,4298,412810, PR,UMUARAMA,UMUARAMA,-62.1688572,-12.607055
 PR-UNIÃO DA VITÓRIA,4299,412820, PR,UNIÃO DA VITÓRIA,UNIÃO DA VITÓRIA,-62.1688572,-12.607055
 PR-UNIFLOR,4300,412830, PR,UNIFLOR,UNIFLOR,-62.1688572,-12.607055
 PR-URAÍ,4301,412840, PR,URAÍ,URAÍ,-62.1688572,-12.607055
 PR-WENCESLAU BRAZ,4302,412850, PR,WENCESLAU BRAZ,WENCESLAU BRAZ,-62.1688572,-12.607055
 PR-VENTANIA,4303,412853, PR,VENTANIA,VENTANIA,-62.1688572,-12.607055
 PR-VERA CRUZ DO OESTE,4304,412855, PR,VERA CRUZ DO OESTE,VERA CRUZ DO OESTE,-62.1688572,-12.607055
 PR-VERÊ,4305,412860, PR,VERÊ,VERÊ,-62.1688572,-12.607055
 PR-ALTO PARAÍSO,4306,412862, PR,ALTO PARAÍSO,ALTO PARAÍSO,-62.1688572,-12.607055
 PR-DOUTOR ULYSSES,4307,412863, PR,DOUTOR ULYSSES,DOUTOR ULYSSES,-62.1688572,-12.607055
 PR-VIRMOND,4308,412865, PR,VIRMOND,VIRMOND,-62.1688572,-12.607055
 PR-VITORINO,4309,412870, PR,VITORINO,VITORINO,-62.1688572,-12.607055
 PR-XAMBRÊ,4310,412880, PR,XAMBRÊ,XAMBRÊ,-62.1688572,-12.607055
 SC-ABDON BATISTA,4324,420005, SC,ABDON BATISTA,ABDON BATISTA,-62.1688572,-12.607055
 SC-ABELARDO LUZ,4325,420010, SC,ABELARDO LUZ,ABELARDO LUZ,-62.1688572,-12.607055
 SC-AGROLÂNDIA,4326,420020, SC,AGROLÂNDIA,AGROLÂNDIA,-62.1688572,-12.607055
 SC-AGRONÔMICA,4327,420030, SC,AGRONÔMICA,AGRONÔMICA,-62.1688572,-12.607055
 SC-ÁGUA DOCE,4328,420040, SC,ÁGUA DOCE,ÁGUA DOCE,-62.1688572,-12.607055
 SC-ÁGUAS DE CHAPECÓ,4329,420050, SC,ÁGUAS DE CHAPECÓ,ÁGUAS DE CHAPECÓ,-62.1688572,-12.607055
 SC-ÁGUAS FRIAS,4330,420055, SC,ÁGUAS FRIAS,ÁGUAS FRIAS,-62.1688572,-12.607055
 SC-ÁGUAS MORNAS,4331,420060, SC,ÁGUAS MORNAS,ÁGUAS MORNAS,-62.1688572,-12.607055
 SC-ALFREDO WAGNER,4332,420070, SC,ALFREDO WAGNER,ALFREDO WAGNER,-62.1688572,-12.607055
 SC-ALTO BELA VISTA,4333,420075, SC,ALTO BELA VISTA,ALTO BELA VISTA,-62.1688572,-12.607055
 SC-ANCHIETA,4334,420080, SC,ANCHIETA,ANCHIETA,-62.1688572,-12.607055
 SC-ANGELINA,4335,420090, SC,ANGELINA,ANGELINA,-62.1688572,-12.607055
 SC-ANITA GARIBALDI,4336,420100, SC,ANITA GARIBALDI,ANITA GARIBALDI,-62.1688572,-12.607055
 SC-ANITÁPOLIS,4337,420110, SC,ANITÁPOLIS,ANITÁPOLIS,-62.1688572,-12.607055
 SC-ANTÔNIO CARLOS,4338,420120, SC,ANTÔNIO CARLOS,ANTÔNIO CARLOS,-62.1688572,-12.607055
 SC-APIÚNA,4339,420125, SC,APIÚNA,APIÚNA,-62.1688572,-12.607055
 SC-ARABUTÃ,4340,420127, SC,ARABUTÃ,ARABUTÃ,-62.1688572,-12.607055
