MERGE,X,CD_GEOCODM,ESTADO,NM_MUNICIP,Info,lon,lat
 AM-TONANTINS,133,130423, AM,TONANTINS,TONANTINS,-67.6662231,-2.7915832
 AM-UARINI,134,130426, AM,UARINI,UARINI,-65.3807101,-3.1828365
 AM-URUCARÁ,135,130430, AM,URUCARÁ,URUCARÁ,-59.2879977,-0.910165
 AM-URUCURITUBA,136,130440, AM,URUCURITUBA,URUCURITUBA,-58.1551349,-3.1286852
 RR-AMAJARI,137,140002, RR,AMAJARI,AMAJARI,-61.419278,3.6542907
 RR-ALTO ALEGRE,138,140005, RR,ALTO ALEGRE,ALTO ALEGRE,-50.1664925,-21.5826153
 RR-BOA VISTA,139,140010, RR,BOA VISTA,BOA VISTA,-22.8078335,16.0950108
 RR-BONFIM,140,140015, RR,BONFIM,BONFIM,-38.5080816,-12.9237266
 RR-CANTÁ,141,140017, RR,CANTÁ,CANTÁ,-60.4892292,2.210474
 RR-CARACARAÍ,142,140020, RR,CARACARAÍ,CARACARAÍ,-61.1353892,1.8132347
 RR-CAROEBE,143,140023, RR,CAROEBE,CAROEBE,-59.6952782,0.8805553
 RR-IRACEMA,144,140028, RR,IRACEMA,IRACEMA,-38.3053725,-5.8135219
 RR-MUCAJAÍ,145,140030, RR,MUCAJAÍ,MUCAJAÍ,-60.9186693,2.4433359
 RR-NORMANDIA,146,140040, RR,NORMANDIA,NORMANDIA,0.1712529,48.8798704
 RR-PACARAIMA,147,140045, RR,PACARAIMA,PACARAIMA,-61.1469405,4.4785845
 RR-RORAINÓPOLIS,148,140047, RR,RORAINÓPOLIS,RORAINÓPOLIS,-60.9540073,0.2619011
 RR-SÃO JOÃO DA BALIZA,149,140050, RR,SÃO JOÃO DA BALIZA,SÃO JOÃO DA BALIZA,-59.9334764,0.5861763
 RR-SÃO LUIZ,150,140060, RR,SÃO LUIZ,SÃO LUIZ,-44.2829046,-2.5391099
 RR-UIRAMUTÃ,151,140070, RR,UIRAMUTÃ,UIRAMUTÃ,-60.1624324,4.5950945
 PA-ABAETETUBA,152,150010, PA,ABAETETUBA,ABAETETUBA,-48.8797998,-1.7253096
 PA-ABEL FIGUEIREDO,153,150013, PA,ABEL FIGUEIREDO,ABEL FIGUEIREDO,-48.396098,-4.9532914
 PA-ACARÁ,154,150020, PA,ACARÁ,ACARÁ,-48.1989348,-1.9541955
 PA-AFUÁ,155,150030, PA,AFUÁ,AFUÁ,-50.3903784,-0.1572831
 PA-ÁGUA AZUL DO NORTE,156,150034, PA,ÁGUA AZUL DO NORTE,ÁGUA AZUL DO NORTE,-50.4863151,-6.8033725
 PA-ALENQUER,157,150040, PA,ALENQUER,ALENQUER,-9.0063654,39.0574004
 PA-ALMEIRIM,158,150050, PA,ALMEIRIM,ALMEIRIM,-8.6259188,39.2075584
 PA-ALTAMIRA,159,150060, PA,ALTAMIRA,ALTAMIRA,-4.122347,43.377452
 PA-ANAJÁS,160,150070, PA,ANAJÁS,ANAJÁS,-49.9353912,-0.9852965
 PA-ANANINDEUA,161,150080, PA,ANANINDEUA,ANANINDEUA,-48.3746372,-1.3650671
 PA-ANAPU,162,150085, PA,ANAPU,ANAPU,-51.5941243,-3.1323806
 PA-AUGUSTO CORRÊA,163,150090, PA,AUGUSTO CORRÊA,AUGUSTO CORRÊA,-46.6456062,-1.0249217
 PA-AURORA DO PARÁ,164,150095, PA,AURORA DO PARÁ,AURORA DO PARÁ,-47.5606208,-2.1331072
 PA-AVEIRO,165,150100, PA,AVEIRO,AVEIRO,-8.6537539,40.6405055
 PA-BAGRE,166,150110, PA,BAGRE,BAGRE,-113.5392896,31.3102234
 PA-BAIÃO,167,150120, PA,BAIÃO,BAIÃO,-8.035514,41.1617715
 PA-BANNACH,168,150125, PA,BANNACH,BANNACH,-89.5177857,44.5282105
 PA-BARCARENA,169,150130, PA,BARCARENA,BARCARENA,-48.6196129,-1.5123997
 PA-BELÉM,170,150140, PA,BELÉM,BELÉM,-9.2203687,38.6991685
 PA-BELTERRA,171,150145, PA,BELTERRA,BELTERRA,-84.9407285,38.7802226
 PA-BENEVIDES,172,150150, PA,BENEVIDES,BENEVIDES,-78.8176467,35.7437943
 PA-BOM JESUS DO TOCANTINS,173,150157, PA,BOM JESUS DO TOCANTINS,BOM JESUS DO TOCANTINS,-48.6020308,-5.0463855
 PA-BONITO,174,150160, PA,BONITO,BONITO,-56.4841032,-21.1265516
 PA-BRAGANÇA,175,150170, PA,BRAGANÇA,BRAGANÇA,-6.756738,41.8061131
 PA-BRASIL NOVO,176,150172, PA,BRASIL NOVO,BRASIL NOVO,-52.6172766,-3.170617
 PA-BREJO GRANDE DO ARAGUAIA,177,150175, PA,BREJO GRANDE DO ARAGUAIA,BREJO GRANDE DO ARAGUAIA,-48.4026258,-5.7018551
 PA-BREU BRANCO,178,150178, PA,BREU BRANCO,BREU BRANCO,-49.5656008,-3.7711778
 PA-BREVES,179,150180, PA,BREVES,BREVES,-50.5135589,-1.2936976
 PA-BUJARU,180,150190, PA,BUJARU,BUJARU,-48.0370264,-1.5182824
 PA-CACHOEIRA DO PIRIÁ,181,150195, PA,CACHOEIRA DO PIRIÁ,CACHOEIRA DO PIRIÁ,-46.4393054,-1.9560586
 PA-CACHOEIRA DO ARARI,182,150200, PA,CACHOEIRA DO ARARI,CACHOEIRA DO ARARI,-48.9605972,-0.8563592
 PA-CAMETÁ,183,150210, PA,CAMETÁ,CAMETÁ,-49.4984804,-2.2414892
 PA-CANAÃ DOS CARAJÁS,184,150215, PA,CANAÃ DOS CARAJÁS,CANAÃ DOS CARAJÁS,-49.8516526,-6.5299734
 PA-CAPANEMA,185,150220, PA,CAPANEMA,CAPANEMA,-47.178192,-1.2056483
 PA-CAPITÃO POÇO,186,150230, PA,CAPITÃO POÇO,CAPITÃO POÇO,-47.0633163,-1.7482133
 PA-CASTANHAL,187,150240, PA,CASTANHAL,CASTANHAL,-47.9190546,-1.2962162
 PA-CHAVES,188,150250, PA,CHAVES,CHAVES,NA,NA
 PA-COLARES,189,150260, PA,COLARES,COLARES,-9.4426867,38.8066307
 PA-CONCEIÇÃO DO ARAGUAIA,190,150270, PA,CONCEIÇÃO DO ARAGUAIA,CONCEIÇÃO DO ARAGUAIA,-49.2664145,-8.262991
 PA-CONCÓRDIA DO PARÁ,191,150275, PA,CONCÓRDIA DO PARÁ,CONCÓRDIA DO PARÁ,-47.9445957,-1.9930572
 PA-CUMARU DO NORTE,192,150276, PA,CUMARU DO NORTE,CUMARU DO NORTE,-50.767642,-7.8114157
